group_name,member_name
Sakamoto's Group,Taro Sakamoto
Sakamoto's Group,Shin Asakura
Sakamoto's Group,Lu Shaotang
Sakamoto's Group,Heisuke Mashimo
Sakamoto's Group,Aoi Sakamoto
Sakamoto's Group,Hana Sakamoto
The Order,Shishiba
The Order,Yoichi Nagumo
The Order,Osaragi
The Order,Hyo
The Order,Takamura
The Order,Kanaguri
The Order,Kamihate
The Order,Satoru Yotsumura
The Order,Kindaka
The Order,Oki
The Order,Torres
The Order,Tanabata
Slur's Group,Kei Uzuki
Slur's Group,Gaku
Slur's Group,Kashima
Slur's Group,Kanaguri
Slur's Group,Club Jam
Slur's Group,Kumanomi
Slur's Group,Carolina Reaper
Slur's Group,Uda
Slur's Group,Haruma
Slur's Group,Gozu
Japanese Association of Assassins,Sei Asaki
Japanese Association of Assassins,Takebe
Japanese Association of Assassins,Iriya
Japanese Association of Assassins,Erio Muto
Japanese Association of Assassins,Inoda
Japanese Association of Assassins,Fukumitsu
Japanese Association of Assassins,Samejima
Japanese Association of Assassins,Nakatsugawa
Japanese Association of Assassins,Atari
Japanese Association of Assassins,Jo Shackles
Dondenkai,Boiled
Dondenkai,Obiguro
Dondenkai,Tatsu
Dondenkai,Kurii Ningu
Dondenkai,Nakajima
Dondenkai,Son Hee
Dondenkai,Bacho
Japan Clear Creation Staff,Etsuko Satoda
Japan Clear Creation Staff,Byodo
Japan Clear Creation Staff,Usami
Japan Clear Creation Staff,Mizuno
Japan Clear Creation Staff,Atou
Japan Clear Creation Staff,Noro
Japan Clear Creation Staff,Inoue
Japan Clear Creation Students,Akira Akao
Japan Clear Creation Students,Amane Yotsumura
Japan Clear Creation Students,Natsuki Seba
Japan Clear Creation Students,Mafuyu Seba
Japan Clear Creation Students,Nao Toramaru
Japan Clear Creation Students,Joichiro Kaji
Japan Clear Creation Students,Shinaya
Japan Clear Creation Students,Jay Erk
Japan Clear Creation Students,Rion Akao
Other Assassins,Higuchi
Other Assassins,Kobayashi
Other Assassins,Geisha
Other Assassins,Shino Yotsumura
Other Assassins,Ikari
Death Row Inmates,Apart
Death Row Inmates,Dump
Death Row Inmates,Minimalist
Death Row Inmates,Saw
Laboratory,Asakura
Laboratory,Tanaka
Laboratory,Namiki
Laboratory,Tada
Laboratory,Mad Horiguchi
Laboratory,Onigahara
Laboratory,Takamido
Other Characters,Nakase
Other Characters,Wang
Other Characters,Granny Miya
Other Characters,Seco Zuru
Other Characters,Yokkun
Other Characters,Yutaro
